Email,Name,Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Backlog in 5th sem,Innovative Project(Y/N),Communication level,Technical Course(Y/N),Placement(Y/N)?,Salary
anisha_jha88@gmail.com,Anisha Jha,Female,ICSE,94.3,ISE,72.3,Electrical Engineering,8.53,No,Yes,No,Yes,2,Yes,Placed,327951
mishraravikishan950@gmail.com,Ravi kishan mishra,Male,WBBSE,85.0,WBCHSE,87.0,Information Technology,9.3,No,Yes,No,Yes,3,Yes,Placed,337850
indrajit_mazumdar31@gmail.com,Indrajit Mazumdar,Male,ICSE,82.8,ISE,87.2,Electrical and Electronics Engineering,8.49,No,Yes,No,No,4,Yes,Not Placed,345905
panthapatim@gmail.com,PANTHA PATIM BHATTACHARYA,Male,WBBSE,64.0,WBCHSE,68.0,Computer Science and Design,7.5,No,Yes,No,Yes,4,Yes,Placed,344750
ishani_singh44@gmail.com,Ishani Singh,Female,ICSE,94.0,ISE,87.2,Electronics and Communication Engineering,9.31,Yes,No,No,Yes,5,Yes,Placed,400000
aishwarya_mukherjee12@gmail.com,Aishwarya Mukherjee,Female,WBBSE,71.8,WBCHSE,93.3,Mechanical Engineering,9.01,Yes,No,No,No,2,No,Not Placed,328511
nikhil_kumar94@gmail.com,Nikhil Kumar,Male,State Board,76.0,CBSE,60.3,Chemical Engineering,7.84,No,No,Yes,Yes,1,Yes,Not Placed,318146
bikram_sarkar25@gmail.com,Bikram Sarkar,Male,State Board,72.2,CBSE,77.0,Information Technology,8.27,Yes,Yes,Yes,Yes,3,Yes,Not Placed,336648
trisha_singhania81@gmail.com,Trisha Singhania,Female,ICSE,96.5,ISE,86.8,Electrical Engineering,9.29,No,Yes,No,Yes,3,Yes,Placed,337838
indira_iyer26@gmail.com,Indira Iyer,Female,WBBSE,86.9,Other state Board,87.4,Chemical Engineering,9.02,No,Yes,No,Yes,4,No,Not Placed,346523
ishika_sarkar75@gmail.com,Ishika Sarkar,Female,ICSE,82.4,Other state Board,88.6,Computer Science and Engineering,9.26,Yes,No,No,No,1,No,Not Placed,319803
arjun_pathak34@gmail.com,Arjun Pathak,Male,ICSE,74.9,Other state Board,81.5,Information Technology,7.32,Yes,No,No,Yes,5,Yes,Placed,353540
soma_singhania43@gmail.com,Soma Singhania,Female,WBBSE,75.0,Other state Board,81.1,Computer Science and Engineering,8.84,Yes,No,Yes,No,2,Yes,Not Placed,328313
ishika_rajput89@gmail.com,Ishika Rajput,Female,CBSE,87.4,CBSE,81.6,Information Technology,7.03,No,Yes,No,Yes,2,Yes,Not Placed,326201
tithi_bera57@gmail.com,Tithi Bera,Female,CBSE,73.9,CBSE,63.9,Computer Science in Data Science,7.92,Yes,No,No,Yes,4,Yes,Placed,345240
suvankar_choudhury10@gmail.com,Suvankar Choudhury,Male,WBBSE,82.1,ISE,72.1,Electronics and Communication Engineering,8.11,Yes,No,No,Yes,4,Yes,Placed,345461
mukesh_singh99@gmail.com,Mukesh Singh,Male,ICSE,70.1,Other state Board,74.7,Electronics and Communication Engineering,8.46,Yes,Yes,No,No,1,No,Not Placed,318870
nayanika_kumari75@gmail.com,Nayanika Kumari,Female,State Board,82.7,ISE,92.2,Computer Science and Design,9.38,Yes,No,No,Yes,2,Yes,Placed,328943
nisha_rao77@gmail.com,Nisha Rao,Female,ICSE,81.9,WBCHSE,84.5,Computer Science and Engineering,8.34,Yes,Yes,Yes,No,1,No,Not Placed,318730
kavya_chauhan93@gmail.com,Kavya Chauhan,Female,CBSE,88.7,ISE,65.9,Electrical Engineering,7.15,No,No,No,Yes,5,No,Not Placed,353341
raginigupta523@gmail.com,Ragini Gupta,Female,CBSE,93.5,Other state Board,69.8,Computer Science and Design,8.8,Yes,No,Yes,Yes,3,Yes,Not Placed,337266
soma_mandal55@gmail.com,Soma Mandal,Female,CBSE,98.9,CBSE,94.1,Electronics and Communication Engineering,9.3,Yes,No,No,No,5,Yes,Not Placed,400000
suvankar_banerjee38@gmail.com,Suvankar Banerjee,Male,ICSE,77.4,ISE,67.1,Computer Science and Design,8.95,No,Yes,No,No,5,Yes,Not Placed,400000
dev_dey63@gmail.com,Dev Dey,Male,State Board,94.6,CBSE,88.3,Electronics and Communication Engineering,7.44,Yes,No,No,Yes,1,Yes,Placed,317680
dev_bhowmick64@gmail.com,Dev Bhowmick,Male,CBSE,82.3,ISE,65.9,Electrical and Electronics Engineering,7.78,No,Yes,No,Yes,4,Yes,Placed,345076
ananya_modi37@gmail.com,Ananya Modi,Female,CBSE,85.6,WBCHSE,68.2,Computer Science and Engineering,9.2,Yes,Yes,No,No,4,Yes,Not Placed,346733
debika_bhattacharya89@gmail.com,Debika Bhattacharya,Female,WBBSE,88.2,ISE,71.5,Electronics and Communication Engineering,9.1,Yes,Yes,No,Yes,5,Yes,Placed,400000
piyali_chatterjee88@gmail.com,Piyali Chatterjee,Female,WBBSE,96.8,Other state Board,94.9,Information Technology,7.82,Yes,No,Yes,No,2,Yes,Not Placed,327123
tanushree_sharma2@gmail.com,Tanushree Sharma,Female,CBSE,86.7,Other state Board,63.9,Electronics and Communication Engineering,7.29,Yes,Yes,No,Yes,2,No,Not Placed,326505
susmita_dey53@gmail.com,Susmita Dey,Female,ICSE,72.6,WBCHSE,91.6,Computer Science and Design,8.84,Yes,Yes,No,No,2,Yes,Not Placed,328313
ishika_dutta71@gmail.com,Ishika Dutta,Female,ICSE,94.7,Other state Board,87.3,Computer Science and Engineering,7.67,Yes,No,No,No,2,No,Not Placed,326948
amit_mahto68@gmail.com,Amit Mahto,Male,ICSE,99.6,Other state Board,94.0,Electrical and Electronics Engineering,7.18,No,Yes,Yes,Yes,5,No,Not Placed,353376
sunidhi_jha16@gmail.com,Sunidhi Jha,Female,WBBSE,81.4,ISE,68.1,Electronics and Communication Engineering,7.57,Yes,Yes,No,Yes,2,No,Not Placed,326831
rajesh_rana71@gmail.com,Rajesh Rana,Male,ICSE,77.7,CBSE,79.2,Electrical Engineering,7.15,No,No,Yes,No,5,Yes,Not Placed,353341
debjit_pal41@gmail.com,Debjit Pal,Male,WBBSE,80.2,Other state Board,91.8,Computer Science and Engineering,8.97,Yes,No,No,Yes,5,Yes,Placed,400000
khusi_kar6@gmail.com,Khusi Kar,Female,WBBSE,89.6,WBCHSE,78.0,Civil Engineering,8.57,Yes,Yes,No,Yes,1,Yes,Placed,318998
anupama_singh46@gmail.com,Anupama Singh,Female,CBSE,71.4,ISE,92.3,Computer Science and Engineering,7.42,No,No,Yes,Yes,4,Yes,Not Placed,344656
krishanuroy733@gmail.com,Krishanu Roy,Male,ICSE,87.0,CBSE,75.0,Computer Science and Engineering,9.47,Yes,Yes,No,Yes,3,No,Not Placed,338048
trisha_mishra98@gmail.com,Trisha Mishra,Female,State Board,84.7,WBCHSE,84.4,Information Technology,7.25,No,Yes,No,No,1,No,Not Placed,317458
debjit_biswas73@gmail.com,Debjit Biswas,Male,WBBSE,72.0,CBSE,64.4,Information Technology,8.33,Yes,Yes,No,Yes,5,Yes,Placed,400000
subhash_mukherjee57@gmail.com,Subhash Mukherjee,Male,ICSE,74.8,ISE,83.9,Computer Science in AIML,9.17,Yes,Yes,No,Yes,2,Yes,Placed,328698
anupamnandi777@gmail.com,Anupam Nandi,Male,WBBSE,70.0,WBCHSE,78.0,Computer Science and Design,8.9,Yes,No,No,Yes,2,Yes,Placed,328383
soma_kapoor10@gmail.com,Soma Kapoor,Female,WBBSE,75.9,WBCHSE,85.2,Computer Science and Design,8.43,No,Yes,No,Yes,1,Yes,Placed,318835
anupama_mazumdar80@gmail.com,Anupama Mazumdar,Female,State Board,72.4,CBSE,67.6,Civil Engineering,8.12,No,No,No,Yes,4,Yes,Placed,345473
indira_pal59@gmail.com,Indira Pal,Female,WBBSE,96.2,CBSE,60.1,Civil Engineering,7.49,No,Yes,No,Yes,1,Yes,Placed,317738
yjanardhanreddy111@gmail.com,Yeddula Janardhan Reddy,Male,State Board,93.0,Other state Board,92.0,Computer Science and Engineering,90.0,Yes,No,No,No,3,Yes,Not Placed,432000
ankit_choudhary86@gmail.com,Ankit Choudhary,Male,State Board,70.0,ISE,94.8,Computer Science in AIML,9.48,Yes,No,No,Yes,5,Yes,Placed,400000
jaya_pandey78@gmail.com,Jaya Pandey,Female,ICSE,75.6,WBCHSE,68.9,Electrical and Electronics Engineering,8.95,No,No,Yes,Yes,3,No,Not Placed,337441
tapasgarai739@gmail.com,Tapas Garai,Male,WBBSE,60.0,WBCHSE,69.0,Computer Science and Design,9.0,No,No,No,No,3,No,Placed,337500
kaushik_mukherjee31@gmail.com,Kaushik Mukherjee,Male,CBSE,85.3,Other state Board,72.8,Mechanical Engineering,8.85,Yes,Yes,No,Yes,2,Yes,Placed,328325
piyali_bhattacharya78@gmail.com,Piyali Bhattacharya,Female,ICSE,89.2,CBSE,82.7,Computer Science and Design,9.37,Yes,No,No,Yes,1,Yes,Placed,319931
smita_shukla34@gmail.com,Smita Shukla,Female,WBBSE,94.9,WBCHSE,84.7,Electrical Engineering,8.59,No,No,No,Yes,3,No,Not Placed,337021
joy_ghosh41@gmail.com,Joy Ghosh,Male,CBSE,87.0,CBSE,87.8,Electrical Engineering,8.15,Yes,No,Yes,Yes,4,Yes,Not Placed,345508
kavya_biswas89@gmail.com,Kavya Biswas,Female,CBSE,98.7,CBSE,60.9,Electronics and Communication Engineering,7.19,Yes,No,No,Yes,4,No,Not Placed,344388
saurabh_choudhary98@gmail.com,Saurabh Choudhary,Male,CBSE,84.6,ISE,79.1,Electrical Engineering,9.44,No,No,No,Yes,1,Yes,Placed,320013
shubham_choudhary62@gmail.com,Shubham Choudhary,Male,State Board,80.4,CBSE,65.6,Mechanical Engineering,7.97,No,No,No,Yes,4,Yes,Placed,345298
arnav_pal91@gmail.com,Arnav Pal,Male,State Board,80.3,WBCHSE,74.9,Mechanical Engineering,9.12,Yes,No,Yes,Yes,4,Yes,Not Placed,346640
riya_mitra24@gmail.com,Riya Mitra,Female,ICSE,95.4,Other state Board,65.8,Civil Engineering,7.42,No,Yes,Yes,Yes,4,Yes,Not Placed,344656
aparna_srivastava87@gmail.com,Aparna Srivastava,Female,State Board,87.5,Other state Board,78.9,Civil Engineering,8.46,No,No,No,No,4,Yes,Not Placed,345870
ujjal_mitra69@gmail.com,Ujjal Mitra,Male,ICSE,91.8,WBCHSE,89.5,Information Technology,8.47,Yes,No,No,Yes,2,Yes,Placed,327881
riya_banerjee31@gmail.com,Riya Banerjee,Female,ICSE,95.4,WBCHSE,93.0,Civil Engineering,8.58,No,Yes,No,Yes,2,Yes,Placed,328010
rakesh_thakur16@gmail.com,Rakesh Thakur,Male,State Board,96.4,ISE,83.0,Mechanical Engineering,7.17,Yes,No,No,Yes,1,Yes,Placed,317365
meyenka_verma92@gmail.com,Meyenka Verma,Female,State Board,79.6,CBSE,87.4,Electrical and Electronics Engineering,8.54,No,Yes,No,Yes,1,Yes,Not Placed,318963
shreya_mahato48@gmail.com,Shreya Mahato,Female,State Board,100.0,WBCHSE,93.1,Electrical and Electronics Engineering,8.34,No,No,No,Yes,4,Yes,Placed,345730
nayana_gupta76@gmail.com,Nayana Gupta,Female,WBBSE,70.5,CBSE,82.9,Electrical and Electronics Engineering,9.32,Yes,Yes,No,Yes,2,Yes,Placed,328873
ghoshsubham778@gmail.com,Subham Ghosh,Male,WBBSE,70.0,WBBSE,80.0,Computer Science and Engineering,9.1,No,Yes,Yes,Yes,3,Yes,Placed,337616
rohan_chatterjee73@gmail.com,Rohan Chatterjee,Male,State Board,86.8,CBSE,64.6,Electronics and Communication Engineering,9.0,Yes,Yes,Yes,Yes,1,No,Not Placed,319500
gopal_das52@gmail.com,Gopal Das,Male,ICSE,91.4,ISE,92.2,Computer Science and Engineering,7.96,Yes,No,No,Yes,4,Yes,Placed,345286
rahul_mandal28@gmail.com,Rahul Mandal,Male,CBSE,70.4,ISE,89.3,Electrical Engineering,9.48,No,No,No,Yes,2,Yes,Placed,329060
anand_mahto91@gmail.com,Anand Mahto,Male,State Board,78.6,CBSE,83.9,Electrical Engineering,7.99,No,Yes,No,Yes,2,Yes,Placed,327321
debanshu_ganguly14@gmail.com,Debanshu Ganguly,Male,WBBSE,90.5,WBCHSE,61.0,Computer Science in Data Science,9.39,Yes,Yes,No,Yes,4,Yes,Placed,346955
debika_choudhary46@gmail.com,Debika Choudhary,Female,CBSE,91.8,Other state Board,78.7,Computer Science in Data Science,7.62,Yes,Yes,No,Yes,1,Yes,Placed,317890
samik_mahato28@gmail.com,Samik Mahato,Male,WBBSE,91.9,WBCHSE,79.9,Computer Science in AIML,7.13,No,Yes,No,Yes,5,Yes,Placed,353318
ankita_bhuiyan57@gmail.com,Ankita Bhuiyan,Female,WBBSE,74.1,Other state Board,67.8,Computer Science and Engineering,7.16,No,No,No,Yes,4,Yes,Placed,344353
jaya_mazumdar74@gmail.com,Jaya Mazumdar,Female,ICSE,96.7,WBCHSE,75.7,Computer Science and Design,8.88,Yes,Yes,No,Yes,3,Yes,Placed,337360
tanushree_chatterjee8@gmail.com,Tanushree Chatterjee,Female,CBSE,81.2,Other state Board,74.7,Computer Science in Data Science,7.09,No,Yes,Yes,No,3,Yes,Not Placed,335271
tanushree_ganguly17@gmail.com,Tanushree Ganguly,Female,State Board,80.2,WBCHSE,94.3,Electrical and Electronics Engineering,8.8,No,No,Yes,Yes,5,Yes,Not Placed,400000
ritika_pandey5@gmail.com,Ritika Pandey,Female,CBSE,99.5,CBSE,90.1,Electrical Engineering,7.37,No,No,No,Yes,1,Yes,Placed,317598
rohan_rana72@gmail.com,Rohan Rana,Male,CBSE,83.1,CBSE,61.9,Electronics and Communication Engineering,7.37,Yes,No,No,Yes,3,Yes,Placed,335598
tanushree_mandal24@gmail.com,Tanushree Mandal,Female,CBSE,75.5,WBCHSE,73.8,Computer Science in Data Science,8.55,No,Yes,No,Yes,5,Yes,Placed,400000
bharat_sharma46@gmail.com,Bharat Sharma,Male,ICSE,76.3,CBSE,81.8,Information Technology,9.07,Yes,Yes,No,Yes,5,Yes,Placed,400000
arpita_biswas29@gmail.com,Arpita Biswas,Female,ICSE,73.0,WBCHSE,72.8,Electrical Engineering,8.35,No,No,No,No,4,Yes,Not Placed,345741
rajesh_mandal97@gmail.com,Rajesh Mandal,Male,State Board,84.2,ISE,78.8,Electronics and Communication Engineering,8.88,Yes,No,No,Yes,3,Yes,Placed,337360
gopal_sah27@gmail.com,Gopal Sah,Male,CBSE,90.6,CBSE,69.9,Civil Engineering,8.33,No,No,No,Yes,2,Yes,Placed,327718
shifasayyad032@gmail.com,Sayyed Shifa Imdadulla Hussaini,Female,State Board,94.6,Diploma board - MSBTE,91.5,Electronics Engineering,8.3,Yes,Yes,Yes,No,2,Yes,Not Placed,327683
susmita_ghosh64@gmail.com,Susmita Ghosh,Female,WBBSE,81.2,WBCHSE,70.0,Electrical and Electronics Engineering,7.36,No,Yes,No,Yes,2,Yes,Not Placed,326586
